Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status
lee-t-shirt,,,,,,,,Color-Size,White-M,,,,,,,,,0.0,shopify,8,deny,manual,23000,,true,true,,https://cdn.shopify.com/s/files/1/0748/5076/2982/files/A4F487E2-2285-48EA-8381-171B4A8A7541.jpg?v=1746553269,2,,,,,active
lee-t-shirt,,,,,,,,Color-Size,White-XL,,,,,,,,,0.0,shopify,8,deny,manual,23000,,true,true,,https://cdn.shopify.com/s/files/1/0748/5076/2982/files/D1CE1846-CE43-4959-90AB-0CD149518CE6.jpg?v=1746553269,3,,,,,active
lee-t-shirt,,,,,,,,Color-Size,White-XXL,,,,,,,,,0.0,shopify,8,deny,manual,23000,,true,true,,https://cdn.shopify.com/s/files/1/0748/5076/2982/files/7179F1E3-EC0F-4ADE-AA38-06579EB58E5C.jpg?v=1746553269,4,,,,,active
lee-t-shirt,,,,,,,,Color-Size,Black-L,,,,,,,,,0.0,shopify,8,deny,manual,23000,,true,true,,https://cdn.shopify.com/s/files/1/0748/5076/2982/files/6D38F67E-858D-426B-A144-5DBD32EB2714.jpg?v=1746553269,5,,,,,active
lee-t-shirt,,,,,,,,Color-Size,Black-M,,,,,,,,,0.0,shopify,8,deny,manual,23000,,true,true,,,6,,,,,active
lee-t-shirt,,,,,,,,Color-Size,Black-XL,,,,,,,,,0.0,shopify,8,deny,manual,23000,,true,true,,,7,,,,,active
lee-t-shirt,,,,,,,,Color-Size,Black-XXL,,,,,,,,,0.0,shopify,8,deny,manual,23000,,true,true,,,8,,,,,active
lee-t-shirt,,,,,,,,Color-Size,Silver-L,,,,,,,,,0.0,shopify,6,deny,manual,23000,,true,true,,,9,,,,,active
lee-t-shirt,,,,,,,,Color-Size,Silver-M,,,,,,,,,0.0,shopify,6,deny,manual,23000,,true,true,,,10,,,,,active
lee-t-shirt,,,,,,,,Color-Size,Brown-L,,,,,,,,,0.0,shopify,6,deny,manual,23000,,true,true,,,11,,,,,active
lee-t-shirt,,,,,,,,Color-Size,Navy-L,,,,,,,,,0.0,shopify,6,deny,manual,23000,,true,true,,,12,,,,,active
lee-t-shirt,,,,,,,,Color-Size,Red-L,,,,,,,,,0.0,shopify,6,deny,manual,23000,,true,true,,,13,,,,,active
lee-t-shirt,,,,,,,,Color-Size,Green-L,,,,,,,,,0.0,shopify,6,deny,manual,23000,,true,true,,,14,,,,,active
tommy-t-shirt,Tommy T-shirt,"Premium Tommy Hilfiger t-shirt with classic styling, available in multiple colors",TechStore Rwanda,Apparel & Accessories > Clothing > Clothing Tops > T-Shirts,,"tommy-hilfiger, variants, imported",true,Color-Size,Red-L,,,,,,,,,0.0,shopify,6,deny,manual,23000,,true,true,,https://cdn.shopify.com/s/files/1/0748/5076/2982/files/4E2BE85A-0216-4F78-91FA-D9F342E8F1B2.jpg?v=1746553258,1,,false,,,active
tommy-t-shirt,,,,,,,,Color-Size,Red-M,,,,,,,,,0.0,shopify,6,deny,manual,23000,,true,true,,https://cdn.shopify.com/s/files/1/0748/5076/2982/files/55E48DB8-984B-4877-8860-1C56FADC3B3B.jpg?v=1746553258,2,,,,,active
tommy-t-shirt,,,,,,,,Color-Size,Red-XL,,,,,,,,,0.0,shopify,6,deny,manual,23000,,true,true,,https://cdn.shopify.com/s/files/1/0748/5076/2982/files/074E7F7F-5C0D-46F7-9E16-D7E73252C9DD.jpg?v=1746553258,3,,,,,active
tommy-t-shirt,,,,,,,,Color-Size,Red-XXL,,,,,,,,,0.0,shopify,6,deny,manual,23000,,true,true,,https://cdn.shopify.com/s/files/1/0748/5076/2982/files/81D731DA-A17C-4EBE-904C-2E2565FE16E1.jpg?v=1746553258,4,,,,,active
tommy-t-shirt,,,,,,,,Color-Size,Green-L,,,,,,,,,0.0,shopify,6,deny,manual,23000,,true,true,,https://cdn.shopify.com/s/files/1/0748/5076/2982/files/410246B7-9405-48DD-A3A5-FB35692B8D33.jpg?v=1746553258,5,,,,,active
tommy-t-shirt,,,,,,,,Color-Size,Green-M,,,,,,,,,0.0,shopify,6,deny,manual,23000,,true,true,,,6,,,,,active
tommy-t-shirt,,,,,,,,Color-Size,Black-L,,,,,,,,,0.0,shopify,6,deny,manual,23000,,true,true,,,7,,,,,active
tommy-t-shirt,,,,,,,,Color-Size,Brown-L,,,,,,,,,0.0,shopify,6,deny,manual,23000,,true,true,,,8,,,,,active
tommy-t-shirt,,,,,,,,Color-Size,Blue-L,,,,,,,,,0.0,shopify,6,deny,manual,23000,,true,true,,,9,,,,,active
tommy-t-shirt,,,,,,,,Color-Size,Yellow-L,,,,,,,,,0.0,shopify,6,deny,manual,23000,,true,true,,,10,,,,,active
